,NOM,NOM_ENTIER,WKT,date_constr,date_fin,date_fin_format,date_nom,date_nom_format,date_ordre,id_propre,n_sq_vo,note,source,source_constr,source_constr_ID,source_fin,source_fin_ID,source_nom,source_nom_ID,source_ordre,source_ordre_ID,temp_loc,TYPE
12,OPERA,Avenue de l'Opéra,"LINESTRING (2.33482441587454 48.8648074506434,2.33470780876998 48.8650757384462)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750605308,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
13,OPERA,Avenue de l'Opéra,"LINESTRING (2.33488457422064 48.8646556362875,2.33482441587454 48.8648074506434)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750605384,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
14,OPERA,Avenue de l'Opéra,"LINESTRING (2.33367532276686 48.8675161169086,2.33361169639232 48.8676556736203)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750604288,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
15,OPERA,Avenue de l'Opéra,"LINESTRING (2.33500341567763 48.8643611338936,2.33488457422064 48.8646556362875)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750605533,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
16,OPERA,Avenue de l'Opéra,"LINESTRING (2.33379146704148 48.8672123804122,2.33347486956835 48.8672185418563)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750604384,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
17,OPERA,Avenue de l'Opéra,"LINESTRING (2.33301235901544 48.869003373015,2.33295246488185 48.8691406548837,2.33294906390648 48.8692141886795,2.33291333353879 48.8692320114759)",1876.0,2020,2020/01/01,1873,1873/01/01,1853,750603790,750005929,"Cette avenue a été ouverte en 1864 entre la rue Louis-le-Grand et le blvd des Capucines, en 1867 entre la place du Théâtre-Français et les rues de l'Echelle et Molière (…) et en 1876 entre les rues de l'Echelle et Molière et la rue Louis-le-Grand. Elle s'est appelée Napoléon jusqu'en 1873.",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 2",ISBN 2-7073-1054-9,0,AVENUE
18,CAPUCINES,Boulevard des Capucines,"LINESTRING (2.33204496770285 48.8706101825464,2.33147502455088 48.870512404134)",1685.0,2020,2020/01/01,1685,1685/01/01,1676,750603346,750005991,"Voie ouverte par lettre patente de juillet 1676, construction finie en 1685",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,https://fr.wikisource.org/wiki/Dictionnaire_administratif_et_historique_des_rues_de_Paris_et_de_ses_monuments/Capucines_(boulevart_des),FRBNF32357628,0,BOULEVARD
19,CAPUCINES,Boulevard des Capucines,"LINESTRING (2.3344143473399 48.8710151748628,2.33415044566647 48.8709700710808)",1685.0,2020,2020/01/01,1685,1685/01/01,1676,750603145,750005991,"Voie ouverte par lettre patente de juillet 1676, construction finie en 1686",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,https://fr.wikisource.org/wiki/Dictionnaire_administratif_et_historique_des_rues_de_Paris_et_de_ses_monuments/Capucines_(boulevart_des),FRBNF32357628,0,BOULEVARD
20,CAPUCINES,Boulevard des Capucines,"LINESTRING (2.33252378555907 48.8706920433402,2.33208234624573 48.8706165956884,2.33204496770285 48.8706101825464)",1685.0,2020,2020/01/01,1685,1685/01/01,1676,750603257,750005991,"Voie ouverte par lettre patente de juillet 1676, construction finie en 1687",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,https://fr.wikisource.org/wiki/Dictionnaire_administratif_et_historique_des_rues_de_Paris_et_de_ses_monuments/Capucines_(boulevart_des),FRBNF32357628,0,BOULEVARD
21,CAPUCINES,Boulevard des Capucines,"LINESTRING (2.33415044566647 48.8709700710808,2.33252378555907 48.8706920433402)",1685.0,2020,2020/01/01,1685,1685/01/01,1676,750603242,750005991,"Voie ouverte par lettre patente de juillet 1676, construction finie en 1688",POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,https://fr.wikisource.org/wiki/Dictionnaire_administratif_et_historique_des_rues_de_Paris_et_de_ses_monuments/Capucines_(boulevart_des),FRBNF32357628,0,BOULEVARD
22,ITALIENS,Boulevard des Italiens,"LINESTRING (2.33974100990971 48.8720288895096,2.33954644000235 48.8718953442376)",1685.0,2020,2020/01/01,1782,1782/01/01,1676,750602812,750005764,s'appelait blvd du dépôt entre 1764 et 1782 et blvd de Gand sous la Restauration (1815-1830),POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,https://gallica.bnf.fr/ark:/12148/bpt6k6454571k/f472.image,FRBNF32052243,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,0,BOULEVARD
23,DEPOT,Boulevard du Dépôt,"LINESTRING (2.33974100990971 48.8720288895096,2.33954644000235 48.8718953442376)",1685.0,1782,1782/01/01,1764,1764/01/01,1676,750602812,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,2,BOULEVARD
24,GAND,Boulevard de Gand,"LINESTRING (2.33974100990971 48.8720288895096,2.33954644000235 48.8718953442376)",1685.0,1830,1830/01/01,1815,1815/01/01,1676,750602812,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,1,BOULEVARD
25,ITALIENS,Boulevard des Italiens,"LINESTRING (2.34004423330594 48.8719808237186,2.33992674495082 48.8719086513926,2.3396358677111 48.8718557819324,2.33954644000235 48.8718953442376)",1685.0,2020,2020/01/01,1782,1782/01/01,1676,750602822,750005764,s'appelait blvd du dépôt entre 1764 et 1782 et blvd de Gand sous la Restauration (1815-1830),POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,https://gallica.bnf.fr/ark:/12148/bpt6k6454571k/f472.image,FRBNF32052243,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,0,BOULEVARD
26,DEPOT,Boulevard du Dépôt,"LINESTRING (2.34004423330594 48.8719808237186,2.33992674495082 48.8719086513926,2.3396358677111 48.8718557819324,2.33954644000235 48.8718953442376)",1685.0,1782,1782/01/01,1764,1764/01/01,1676,750602822,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,2,BOULEVARD
27,GAND,Boulevard de Gand,"LINESTRING (2.34004423330594 48.8719808237186,2.33992674495082 48.8719086513926,2.3396358677111 48.8718557819324,2.33954644000235 48.8718953442376)",1685.0,1830,1830/01/01,1815,1815/01/01,1676,750602822,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,1,BOULEVARD
28,ITALIENS,Boulevard des Italiens,"LINESTRING (2.33774322281254 48.8715856859029,2.33709635492445 48.8714745953434)",1685.0,2020,2020/01/01,1782,1782/01/01,1676,750602956,750005764,s'appelait blvd du dépôt entre 1764 et 1782 et blvd de Gand sous la Restauration (1815-1830),POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,https://gallica.bnf.fr/ark:/12148/bpt6k6454571k/f472.image,FRBNF32052243,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,0,BOULEVARD
29,DEPOT,Boulevard du Dépôt,"LINESTRING (2.33774322281254 48.8715856859029,2.33709635492445 48.8714745953434)",1685.0,1782,1782/01/01,1764,1764/01/01,1676,750602956,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,2,BOULEVARD
30,GAND,Boulevard de Gand,"LINESTRING (2.33774322281254 48.8715856859029,2.33709635492445 48.8714745953434)",1685.0,1830,1830/01/01,1815,1815/01/01,1676,750602956,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,1,BOULEVARD
31,ITALIENS,Boulevard des Italiens,"LINESTRING (2.33709635492445 48.8714745953434,2.33700869934472 48.8714585881425)",1685.0,2020,2020/01/01,1782,1782/01/01,1676,750602959,750005764,s'appelait blvd du dépôt entre 1764 et 1782 et blvd de Gand sous la Restauration (1815-1830),POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,,,https://gallica.bnf.fr/ark:/12148/bpt6k6454571k/f472.image,FRBNF32052243,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,0,BOULEVARD
32,DEPOT,Boulevard du Dépôt,"LINESTRING (2.33709635492445 48.8714745953434,2.33700869934472 48.8714585881425)",1685.0,1782,1782/01/01,1764,1764/01/01,1676,750602959,750005764,,POD troncons voies,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,"Dictionnaire historique des rues de Paris, Jacques Hillairet, 8ème édition (1985), cote 703 HILL d 1",ISBN 2-7073-1054-9,2,BOULEVARD
